epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.932,1.53941,2.58088,4.19606,1.43749,0,0.37103,0.27819,0.14437,0.08046,0.36467,0.26303,0.12965,0.06237,1.39843,2.21165,2.89733,1.33347,0,0.00998299,0.00332766,0.00998299,0.00332766,0.00998299,0.00332766,0.00998299,0.00332766
2,299.521,1.51659,2.26735,3.12125,1.3625,0,0.50979,0.23139,0.15182,0.07484,0.50006,0.19596,0.1147,0.04519,1.58936,2.57944,3.01624,1.4311,0,0.019917,0.00663902,0.019917,0.00663902,0.019917,0.00663902,0.019917,0.00663902
3,434.218,1.6309,2.3765,3.03706,1.42381,0,0.39764,0.2469,0.16215,0.08212,0.39634,0.21572,0.14695,0.06512,1.79167,2.3535,2.89846,1.53514,0,0.0297851,0.00992837,0.0297851,0.00992837,0.0297851,0.00992837,0.0297851,0.00992837
4,587.913,1.73106,2.46045,2.90631,1.46037,0,0.37255,0.26108,0.16085,0.07965,0.36742,0.24466,0.15209,0.06421,1.6599,2.42235,2.73123,1.46468,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,718.41,1.66054,2.31915,2.67458,1.42065,0,0.43405,0.313,0.21695,0.11811,0.42274,0.28841,0.19657,0.09907,1.60091,2.17534,2.55602,1.41891,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,912.069,1.58039,2.20811,2.54474,1.39341,0,0.41355,0.3218,0.25808,0.14564,0.38989,0.29611,0.22856,0.11275,1.52918,1.98239,2.35718,1.43177,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1034.93,1.54837,2.15487,2.44622,1.38867,0,0.37859,0.36434,0.25503,0.151,0.38098,0.35214,0.24953,0.12892,1.48842,2.01446,2.32355,1.37726,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1172.11,1.49819,2.09836,2.34944,1.36195,0,0.32736,0.32543,0.24866,0.14294,0.31108,0.31447,0.22615,0.11448,1.49177,2.01176,2.40583,1.37984,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1295.62,1.46106,2.02554,2.27111,1.33455,0,0.28876,0.39608,0.29672,0.17308,0.27479,0.37355,0.26219,0.13037,1.42168,1.93945,2.18495,1.37622,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1423.63,1.42052,1.98861,2.21487,1.31945,0,0.35111,0.37856,0.28412,0.15891,0.34706,0.36054,0.25278,0.12949,1.43276,1.92347,2.22598,1.35335,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1590.38,1.39293,1.92529,2.15487,1.29752,0,0.45686,0.35895,0.32486,0.19332,0.45314,0.34013,0.30094,0.14792,1.36917,1.88421,2.09961,1.32221,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1710.69,1.35967,1.87898,2.08827,1.27758,0,0.32234,0.44022,0.3124,0.18367,0.32069,0.42635,0.29713,0.15491,1.401,1.82763,2.11628,1.34651,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1815.53,1.34425,1.86686,2.08374,1.27127,0,0.31865,0.44215,0.31595,0.18636,0.31971,0.44731,0.30173,0.15477,1.35888,1.81974,2.06376,1.32375,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1915.94,1.32112,1.81462,2.03432,1.25721,0,0.3137,0.415,0.35757,0.21934,0.24991,0.40367,0.3196,0.17312,1.34339,1.80084,2.0436,1.3353,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2016.76,1.31259,1.81732,2.01615,1.25573,0,0.37944,0.41818,0.33184,0.20431,0.37,0.40162,0.30485,0.16756,1.33415,1.78643,2.03528,1.30076,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2117.53,1.2693,1.75728,1.94899,1.2385,0,0.28405,0.47735,0.34909,0.21607,0.27402,0.45776,0.32403,0.18134,1.29608,1.75902,2.03471,1.28762,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2218.46,1.261,1.72051,1.90322,1.22542,0,0.23509,0.47801,0.32761,0.20045,0.22416,0.43826,0.30145,0.16698,1.31611,1.71843,2.01456,1.28853,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
